file,meanB,meanG,meanR,standar_devB,standar_devG,standar_devR,skewness_B,skewness_G,skewness_R,class
segar (28).jpg,152.86322021484375,83.62910461425781,53.19940185546875,7.1466761683468185,7.78155947969797,8.379280673955625,5.56869366651868,5.695368882396927,8.220787652196877,1
segar (29).jpg,149.85121154785156,78.45750427246094,42.583465576171875,5.572298367032569,10.446241288262208,11.716976065798741,5.404553685375924,9.484471048648453,14.074482714990806,1
segar (3).jpg,109.06375122070312,54.91839599609375,35.697906494140625,6.762689767484079,9.605958473710775,10.185204484575841,7.929972717460587,11.653822141995427,13.459731225909204,1
segar (30).jpg,116.56120300292969,55.2230224609375,35.82234191894531,3.262194750903602,5.534273074432281,7.1707797695715705,3.0915955347729733,5.114212979614978,6.433549786382154,1
segar (31).jpg,97.07601928710938,31.4193115234375,31.551864624023438,9.832770159889131,11.95136151675302,10.699715549675984,-5.9489110575426185,13.36954075703412,14.22773968476164,1
segar (32).jpg,105.908203125,41.23345947265625,39.590576171875,8.633642980062225,14.686411232744483,13.454836620212811,10.343746046946011,16.359245430679337,15.426866774663203,1
segar (33).jpg,135.9124298095703,82.33200073242188,58.409820556640625,3.799816477865615,6.965874818591037,8.99496407187508,2.2752591887869626,5.532054273134512,7.361817295769211,1
segar (34).jpg,130.05801391601562,75.6807861328125,42.755859375,3.412742502372785,8.421706542097864,8.888377892853235,4.7413551954537345,8.898583966482935,10.096483310503507,1
segar (35).jpg,126.05809020996094,59.638916015625,41.965728759765625,3.26414311699853,6.22227163137912,7.42481132991453,1.802823889002942,-4.518371383209504,-1.7412840037678867,1
segar (36).jpg,133.8235626220703,60.87196350097656,36.73103332519531,4.712263453851581,7.134594953877507,8.454375777906696,5.474734436988725,8.57422798721202,10.831015616403826,1
segar (37).jpg,152.1572265625,82.34074401855469,49.60411071777344,7.290634394646587,8.485962750442942,8.950064966891006,5.123243973895781,6.848127443782349,9.200603842992745,1
segar (38).jpg,178.1362762451172,115.30433654785156,77.45683288574219,6.887656935942972,12.053747613756878,11.685950113588449,-4.007145477156569,-6.472466943179291,-5.117850478180065,1
segar (39).jpg,171.7943115234375,102.60316467285156,63.287750244140625,11.69399424203042,16.599217896776054,13.897266896392798,3.426861107793468,9.992795483423281,9.727108801541641,1
segar (4).jpg,122.17915344238281,64.57090759277344,42.77777099609375,9.109208798126842,10.470956865991711,10.09754174922019,9.724119722127915,13.84351191276761,13.775407268686664,1
segar (40).jpg,125.37284851074219,60.41754150390625,32.012420654296875,8.224047394419278,7.648581533420107,8.992241706765544,3.3301114403492083,8.83717050025661,9.916857583178619,1
segar (41).jpg,162.99081420898438,80.9508056640625,52.45121765136719,6.856672203567917,9.207256969036662,11.260401036949377,6.1671978600012896,8.942676672933821,11.829954388997692,1
segar (42).jpg,171.6961212158203,109.37905883789062,69.10298156738281,5.77716184373479,12.226301302839204,12.795421387866382,5.22689483604874,12.953302965340107,13.330541166437419,1
segar (43).jpg,207.2841796875,137.7500762939453,90.92829895019531,9.597211430775571,13.259802017470664,13.61797078747919,5.715084978730542,9.146249208281787,10.658647992785996,1
segar (44).jpg,149.94805908203125,80.594482421875,44.22370910644531,8.605185212500146,5.26802234240532,7.0420221311534075,-6.016692445367019,5.315447914976898,7.777341428308081,1
segar (45).jpg,115.57804870605469,54.905059814453125,32.705841064453125,4.050234603432567,5.580579929317064,7.222172657426905,1.7236723018320583,3.1669545019250034,6.556987376211121,1
segar (46).jpg,146.2506866455078,91.20500183105469,70.00143432617188,5.86839471016723,10.801028337193907,10.137863363523602,-2.6478932508850974,4.448183804020758,5.8225174675174785,1
segar (47).jpg,137.29864501953125,81.28875732421875,54.291015625,4.483743626063192,8.632789129985056,10.244567734184919,5.309840880565896,9.804794711350166,12.223713404580591,1
segar (48).jpg,135.85421752929688,82.34019470214844,49.85118103027344,5.126650949837532,12.041037237102715,12.483577816350035,5.062196637417601,10.012479003735605,11.904736804621113,1
segar (49).jpg,84.72048950195312,27.260345458984375,24.267822265625,6.244418805258498,9.312132950914192,7.492877053360068,-4.2620384140305125,8.610835264647552,6.266293467652989,1
segar (5).jpg,158.54977416992188,99.81129455566406,73.88389587402344,18.629750975495128,22.319422836146018,19.658142314589192,9.53140456366026,16.586105993105136,18.207158634613176,1
segar (50).jpg,92.11979675292969,45.81816101074219,41.489105224609375,11.860805967386673,14.77550617248948,13.386685250547597,-8.352717281814774,-12.712276025392546,-11.372783772437822,1
segar (51).jpg,110.35740661621094,35.699737548828125,33.10919189453125,9.297189681541182,13.509012921264848,12.26674993771641,-6.572930115640478,10.449710105123865,13.448770993842126,1
segar (52).jpg,130.81622314453125,44.30390930175781,39.682403564453125,6.114027000680506,11.392322162255146,8.290048712197793,7.741462261186871,14.030051564771412,10.352473988900455,1
segar (53).jpg,90.35122680664062,37.35029602050781,30.859298706054688,7.612267502980807,9.110652359935722,8.90124036171009,-5.283867214661861,1.502294258156497,6.284866404532211,1
segar (54).jpg,80.73353576660156,27.261077880859375,24.081222534179688,6.2853125163773935,8.303534430786144,7.313445881969464,2.3932228154001702,6.9272058518148,6.139697081059276,1
segar (55).jpg,87.17263793945312,41.68348693847656,39.62327575683594,11.15041835280823,14.868818043942742,13.722302122774956,7.378390538686491,11.411019041071826,9.784233648225824,1
segar (56).jpg,173.8679962158203,112.07418823242188,77.14340209960938,13.917580660495268,21.81335667781178,21.77238778636507,8.971235786071501,19.275961149229786,22.105579002674986,1
segar (57).jpg,142.5381317138672,73.42877197265625,45.30241394042969,3.711962664414464,5.675238848889872,9.013649197657877,4.175164376127485,6.647729849052055,9.497517630749787,1
segar (58).jpg,95.80186462402344,37.16670227050781,37.08415222167969,9.768493494449743,14.856381230241803,14.734032681610492,12.381209706328175,19.976993293724654,20.74020678263802,1
segar (59).jpg,157.99082946777344,93.01618957519531,62.810577392578125,21.59749392647833,31.26290891160687,26.93158460705369,-9.050360061188492,22.039098373313173,27.738287639729005,1
segar (6).jpg,120.58206176757812,62.48573303222656,39.45079040527344,6.858679438473521,8.039275708938815,7.339648641816453,6.252557415218668,9.89332701310923,9.718349782153568,1
segar (60).jpg,128.69293212890625,45.84767150878906,40.78199768066406,20.28598501030125,23.387671088541598,16.94975232907798,19.082223782553147,24.550051742005486,15.871664745815165,1
